,0
319,HMDB0006050
320,HMDB0000052
321,HMDB0006270
322,HMDB0000092
323,HMDB0000949
324,HMDB0007994
325,HMDB0001169
326,HMDB0001173
327,HMDB0002203
328,HMDB0039530
329,HMDB0036458
330,HMDB0001645
331,HMDB0035924
332,HMDB0008422
333,HMDB0008127
334,HMDB0002038
335,HMDB0008193
336,HMDB0008327
337,HMDB0000827
338,HMDB0000712
339,HMDB0011149
340,HMDB0008488
341,HMDB0000222
342,HMDB0002074
343,HMDB0000387
344,HMDB0008458
345,HMDB0000682
346,HMDB0003219
347,HMDB0000687
348,HMDB0008392
349,HMDB0001565
350,HMDB0008294
351,HMDB0000208
352,HMDB0008162
353,HMDB0000638
354,HMDB0008258
355,HMDB0001232
356,HMDB0006115
357,HMDB0000073
358,HMDB0008061
359,HMDB0000064
360,HMDB0000162
361,HMDB0000248
362,HMDB0000651
363,HMDB0008554
364,HMDB0003229
365,HMDB0000050
366,HMDB0000068
367,HMDB0008093
368,HMDB0008586
369,HMDB0015459
370,HMDB0000672
371,HMDB0008587
372,HMDB0004193
373,HMDB0000043
374,HMDB0000230
375,HMDB0000251
376,HMDB0008524
377,HMDB0001847
378,HMDB0000152
379,HMDB0008227
380,HMDB0000227
381,HMDB0000159
382,HMDB0000899
383,HMDB0007963
384,HMDB0003407
385,HMDB0008456
386,HMDB0001895
387,HMDB0013676
388,HMDB0008159
389,HMDB0000044
390,HMDB0000215
391,HMDB0000001
392,HMDB0008291
393,HMDB0005923
394,HMDB0028835
395,HMDB0240584
396,HMDB0001857
397,HMDB0011222
398,HMDB0000639
399,HMDB0008425
400,HMDB0003423
401,HMDB0128076
402,HMDB0003701
403,HMDB0002917
404,HMDB0003654
405,HMDB0000898
406,HMDB0015109
407,HMDB0029120
408,HMDB0000549
409,HMDB0001492
410,HMDB0008060
411,HMDB0001107
412,HMDB0008555
413,HMDB0002035
414,HMDB0005998
415,HMDB0003550
416,HMDB0001861
417,HMDB0005781
418,HMDB0032538
419,HMDB0035796
420,HMDB0030831
421,HMDB0000306
422,HMDB0038982
423,HMDB0002719
424,HMDB0041950
425,HMDB0011221
426,HMDB0000742
427,HMDB0008653
428,HMDB0008259
429,HMDB0003374
430,HMDB0000062
